證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1203","味王","12925","612861","47.60","47.60","47.10","47.10","-0.4000","66"
"1210","大成","846808","43342812","51.50","51.50","51.00","51.20","0.1000","731"
"1213","大飲","24693","303596","12.10","12.80","12.00","12.75","0.6500","23"
"1215","卜蜂","190946","18533104","97.70","97.90","96.80","96.80","-0.4000","351"
"1216","統一","7283399","636267872","88.60","88.70","86.70","87.30","-0.9000","5556"
"1217","愛之味","848275","10105092","12.00","12.00","11.85","11.85","-0.1000","319"
"1218","泰山","306147","6156717","20.20","20.25","20.05","20.10","-0.1000","283"
"1219","福壽","205457","3542599","17.30","17.30","17.15","17.20","-0.1000","161"
"1220","台榮","2737953","47662271","17.55","17.70","17.10","17.10","0.2500","1029"
"1225","福懋油","78880","6861198","88.00","90.20","86.00","86.00","-3.4000","1168"
"1227","佳格","326651","12394796","38.10","38.10","37.85","37.90","-0.2000","284"
"1229","聯華","663739","39916597","60.30","60.50","59.90","59.90","-0.1000","944"
"1231","聯華食","151275","18082002","120.00","120.00","119.00","120.00","1.5000","403"
"1232","大統益","49536","7421305","150.00","150.50","149.00","149.00","-1.5000","226"
"1233","天仁","34361","1100168","32.00","32.20","31.95","31.95","-0.3500","55"
"1234","黑松","43250","1791054","41.40","41.50","41.35","41.40","-0.0500","88"
"1235","興泰","10550","1644889","155.50","159.00","155.50","155.50","-1.0000","36"
"1236","宏亞","18586","435367","23.45","23.45","23.30","23.35","0.0500","59"
"1256","鮮活果汁-KY","38009","5447905","144.00","149.00","140.00","140.00","-3.5000","187"
"1301","台塑","12734310","613968685","48.90","49.25","47.60","47.70","-1.0500","8444"
"1303","南亞","10466358","453997048","43.75","44.25","42.70","42.85","-0.4500","6193"
"1304","台聚","1326768","19095972","14.55","14.65","14.20","14.40","-0.1000","999"
"1305","華夏","759286","12015172","16.00","16.05","15.70","15.75","-0.2500","589"
"1307","三芳","11502932","552554137","47.90","49.90","47.00","47.05","-0.5500","6616"
"1308","亞聚","6540428","117493063","17.55","18.65","17.05","18.50","1.1000","3092"
"1309","台達化","2815980","52235150","19.25","19.35","18.25","18.25","-0.9000","1794"
"1310","台苯","593595","7221210","12.30","12.30","12.10","12.10","-0.1500","476"
"1312","國喬","1594601","19753098","12.50","12.55","12.25","12.25","-0.1000","840"
"1312A","國喬特","3000","70100","23.35","23.40","23.35","23.40","0.0500","2"
"1313","聯成","1636957","18477803","11.50","11.60","11.15","11.20","-0.2500","747"
"1314","中石化","15347849","125055823","8.25","8.26","8.08","8.09","-0.1600","4328"
"1315","達新","6105","431818","70.60","71.00","70.60","71.00","0.8000","27"
"1316","上曜","1632917","24652292","15.30","15.35","14.90","14.95","-0.1500","795"
"1319","東陽","2815166","304464450","109.50","109.50","107.00","107.00","-1.5000","1879"
"1321","大洋","543403","18480943","34.10","34.35","33.85","33.90","-0.1000","282"
"1323","永裕","34517","840208","24.40","24.65","24.25","24.30","-0.1000","29"
"1324","地球","354895","4617266","12.75","13.25","12.70","12.95","0.3500","200"
"1325","恆大","837207","23671802","27.20","29.20","27.20","28.75","0.9000","448"
"1326","台化","7626826","295335671","39.50","39.50","38.30","38.30","-1.0500","5502"
"1337","再生-KY","332550","2355612","7.12","7.14","7.05","7.05","-0.0500","224"
"1338","廣華-KY","203538","6527422","31.45","32.50","31.45","31.90","0.5000","168"
"1339","昭輝","110769","6248124","57.20","57.20","56.00","56.10","-1.0000","150"
"1340","勝悅-KY","147114","1535545","10.35","10.55","10.30","10.30","-0.0500","153"
"1341","富林-KY","29002","1973436","68.20","68.20","68.00","68.00","0.0000","13"
"1342","八貫","131838","12893571","99.00","99.00","97.30","97.40","-0.6000","411"
"1402","遠東新","4380348","159699227","37.00","37.00","36.25","36.45","-0.1000","2598"
"1409","新纖","1074206","16693298","15.70","15.70","15.45","15.45","-0.2500","693"
"1410","南染","16385","603252","36.80","37.00","36.70","36.70","-0.1000","23"
"1413","宏洲","41081","397803","9.74","9.74","9.68","9.68","0.0000","15"
"1414","東和","214505","4897399","22.95","23.00","22.65","22.90","0.0500","172"
"1416","廣豐","437525","5919483","13.65","13.75","13.35","13.40","-0.2000","243"
"1417","嘉裕","313154","3142662","10.15","10.20","10.00","10.00","-0.1500","332"
"1418","東華","86350","2613222","31.50","31.50","29.50","29.50","0.0500","65"
"1419","新紡","4006","186435","46.75","46.75","46.25","46.25","0.0000","9"
"1423","利華","123073","4721067","38.80","38.80","38.00","38.30","-0.5500","142"
"1432","大魯閣","147237","2848513","19.30","19.45","19.25","19.40","0.1000","222"
"1434","福懋","446015","8838162","20.00","20.00","19.65","19.75","-0.2000","592"
"1435","中福","2563","114219","45.80","45.80","44.10","44.10","0.0000","19"
"1436","華友聯","1004347","120633099","123.00","125.00","117.00","118.00","-4.0000","1022"
"1437","勤益控","48206","1647524","34.20","34.30","34.05","34.25","0.2000","53"
"1438","三地開發","200800","11465299","57.60","58.60","56.10","56.30","-0.7000","209"
"1439","雋揚","63628","1934045","30.60","30.60","30.25","30.35","-0.2500","57"
"1440","南紡","295714","4557303","15.40","15.55","15.35","15.40","-0.1000","376"
"1441","大東","57898","892393","15.35","15.75","15.05","15.55","0.0000","106"
"1442","名軒","585243","38432067","65.40","66.80","64.80","65.60","0.3000","451"
"1443","立益物流","40480","1393053","34.20","34.65","34.00","34.60","0.7500","52"
"1444","力麗","645673","5909952","9.17","9.20","9.10","9.11","-0.0600","323"
"1445","大宇","153997","2737392","18.10","18.10","17.55","17.65","-0.3000","153"
"1446","宏和","1943280","82606481","42.70","43.45","41.50","42.30","0.2500","1259"
"1447","力鵬","2541829","19993294","7.98","7.99","7.80","7.80","-0.1800","1087"
"1449","佳和","14698305","387760322","25.95","26.85","25.40","26.85","2.4000","5298"
"1451","年興","291739","6043702","20.90","21.00","20.55","20.65","-0.0500","245"
"1452","宏益","96896","1592985","16.55","16.55","16.35","16.35","-0.2000","61"
"1453","大將","113823","1865226","16.35","16.55","16.20","16.20","-0.1500","138"
"1454","台富","72177","1222848","17.10","17.10","16.85","16.85","-0.1000","46"
"1455","集盛","489161","5052730","10.50","10.50","10.25","10.30","-0.1500","482"
"1456","怡華","116037","2153881","18.45","18.90","18.35","18.70","0.2500","79"
"1457","宜進","126452","2452517","19.30","19.60","19.25","19.30","0.0000","121"
"1459","聯發","48545","481055","9.96","9.96","9.90","9.90","-0.0300","79"
"1460","宏遠","413197","2925785","7.09","7.11","7.06","7.09","0.0000","323"
"1463","強盛新","110715","2727092","24.30","24.80","24.30","24.80","0.3000","75"
"1464","得力","4061348","68437184","17.00","17.35","16.55","16.75","-0.0500","2044"
"1465","偉全","8128","122758","15.10","15.15","15.10","15.10","0.0500","32"
"1466","聚隆","1230972","17402906","13.85","14.45","13.70","14.35","0.7000","605"
"1467","南緯","285713","3058320","10.65","10.80","10.60","10.65","0.0500","160"
"1468","昶和","48000","695150","14.50","14.70","14.35","14.70","0.1500","38"
"1470","大統新創","6050","124325","20.80","20.80","20.50","20.50","0.1000","5"
"1471","首利","3045682","42755148","14.40","14.40","13.70","13.85","0.7500","1270"
"1472","三洋實業","4817","287449","59.60","59.80","59.60","59.80","0.2000","24"
"1473","台南","238214","8560839","36.20","36.40","35.75","35.75","-0.2500","331"
"1474","弘裕","293901","4042525","13.85","14.00","13.60","14.00","0.1000","173"
"1475","業旺","99434","6470699","65.80","65.80","64.50","64.70","-1.1000","325"
"1476","儒鴻","1733491","1002784184","567.00","593.00","566.00","580.00","30.0000","1701"
"1477","聚陽","1582271","537605369","343.00","345.50","337.50","339.50","-5.5000","1977"
"1503","士電","1322676","284550576","213.50","218.00","212.00","215.00","0.5000","4269"
"1504","東元","3354937","170614788","51.30","51.30","50.50","50.60","-0.5000","2831"
"1506","正道","152068","2075934","13.80","13.80","13.50","13.70","-0.1000","85"
"1512","瑞利","36282","265834","7.38","7.38","7.26","7.35","-0.0300","24"
"1513","中興電","5893517","994539925","170.50","171.50","167.00","167.00","-2.5000","12496"
"1514","亞力","2595879","301178468","117.00","117.50","114.00","114.00","-2.5000","2786"
"1515","力山","660526","22554023","35.10","35.10","33.85","33.85","-1.1500","536"
"1516","川飛","90292","1677579","18.75","18.75","18.50","18.55","-0.2000","92"
"1517","利奇","59757","895159","15.00","15.00","14.90","14.95","-0.0500","209"
"1519","華城","5775422","3583992776","618.00","632.00","606.00","620.00","5.0000","7637"
"1521","大億","80259","2948626","36.85","37.15","36.60","36.65","-0.4500","75"
"1522","堤維西","4273750","263432423","62.20","62.40","61.00","61.30","0.1000","3071"
"1522A","堤維西甲特","1000","46500","46.50","46.50","46.50","46.50","0.0000","1"
"1524","耿鼎","3617212","127094513","36.00","36.20","34.40","34.60","-1.2000","2390"
"1525","江申","95764","6370331","67.50","67.50","65.20","65.60","-2.0000","104"
"1526","日馳","13608","370597","27.20","27.30","27.15","27.15","-0.0500","29"
"1527","鑽全","282850","12251898","43.55","43.60","43.00","43.00","-0.5500","296"
"1528","恩德","19568004","395321924","20.75","21.30","19.60","19.75","-0.8000","8214"
"1529","樂事綠能","537598","14330268","27.15","27.20","26.45","26.45","-0.6500","717"
"1530","亞崴","201675","6503334","32.80","32.80","32.00","32.00","-0.8500","326"
"1531","高林股","19238282","343754910","17.70","19.00","16.60","16.80","-0.5500","9533"
"1532","勤美","1361975","51406865","38.20","38.20","37.25","37.40","-0.7000","802"
"1533","車王電","320862","14661712","46.60","46.70","45.00","45.00","-0.1000","351"
"1535","中宇","41291","2571607","62.30","62.40","62.00","62.40","-0.4000","42"
"1536","和大","11734904","720354459","62.00","62.60","60.00","61.40","-0.6000","9285"
"1537","廣隆","518402","78280155","151.50","153.00","149.50","149.50","1.0000","531"
"1538","正峰","3122","55803","18.00","18.05","17.60","18.05","0.0500","8"
"1539","巨庭","854811","23481975","28.55","28.55","27.00","27.00","-1.4500","626"
"1540","喬福","3494377","142174037","41.65","41.95","40.15","40.15","-1.3000","2369"
"1541","錩泰","35319","1059297","30.35","30.35","29.80","29.80","-0.2500","40"
"1558","伸興","61580","6659685","108.00","109.00","108.00","108.00","0.0000","90"
"1560","中砂","2638898","833956839","318.00","319.00","312.50","318.50","3.5000","4093"
"1563","巧新","393420","23221092","60.00","60.00","58.30","58.30","-1.3000","687"
"1568","倉佑","678849","19782837","30.20","30.20","28.65","28.70","-1.3500","662"
"1582","信錦","830608","84013706","104.00","104.00","100.00","100.00","-2.5000","766"
"1583","程泰","31100","1941660","62.90","62.90","62.20","62.40","0.0000","25"
"1587","吉茂","1791172","73846909","38.85","42.60","38.40","42.60","3.8500","1231"
"1589","永冠-KY","944572","36706899","39.40","39.90","38.20","38.45","-1.6000","1017"
"1590","亞德客-KY","553068","517518296","942.00","943.00","930.00","931.00","-9.0000","724"
"1597","直得","2377777","232351429","100.00","100.50","95.30","95.80","-3.0000","2429"
"1598","岱宇","89732","2538917","28.35","28.40","28.10","28.20","0.0000","103"
"1603","華電","1033296","36671449","35.80","36.20","34.80","34.80","-0.9500","571"
"1604","聲寶","125022","3541553","28.40","28.50","28.25","28.30","-0.1000","138"
"1605","華新","12788775","387736670","30.95","30.95","29.95","30.15","-0.5000","5791"
"1608","華榮","1168628","34892256","30.30","30.30","29.55","29.55","-0.6500","819"
"1609","大亞","2701563","123274097","46.15","46.25","45.25","45.25","-0.6500","3457"
"1611","中電","471985","7773346","16.80","16.80","16.35","16.40","-0.2500","418"
"1612","宏泰","741345","26177234","35.40","35.70","34.95","35.15","-0.1000","756"
"1614","三洋電","52671","2102853","39.85","40.20","39.80","40.00","0.2000","36"
"1615","大山","65943","3872274","59.30","59.30","58.30","58.90","-0.3000","367"
"1616","億泰","747138","15946634","21.45","21.85","21.00","21.10","-0.3500","433"
"1617","榮星","177731","3590995","20.55","20.55","20.05","20.05","-0.2500","162"
"1618","合機","738065","30570622","42.00","42.20","40.85","40.95","-1.0500","720"
"1626","艾美特-KY","76259","1167959","15.40","15.40","15.20","15.25","-0.1500","141"
"1702","南僑","305540","16921935","55.70","55.70","55.20","55.30","-0.4000","456"
"1707","葡萄王","171137","25889390","151.00","152.00","151.00","151.00","-0.5000","185"
"1708","東鹼","5686120","230880192","40.20","41.10","40.00","40.00","0.6500","3490"
"1709","和益","525707","12077504","23.15","23.25","22.80","22.95","-0.2000","349"
"1710","東聯","557280","9966109","17.95","18.05","17.75","17.80","-0.1500","461"
"1711","永光","6301586","149319078","24.25","24.35","23.35","23.40","-0.8500","3677"
"1712","興農","1277328","55673428","43.25","43.80","43.00","43.80","0.7000","807"
"1713","國化","288577","14457077","50.70","50.70","49.90","50.00","-1.4000","130"
"1714","和桐","2067206","17632778","8.52","8.61","8.47","8.52","0.1200","790"
"1717","長興","2170807","67410036","31.50","31.50","30.85","30.85","-0.5000","1262"
"1718","中纖","2674003","20729769","7.83","7.83","7.70","7.71","-0.1100","1110"
"1720","生達","192049","12352681","64.60","64.80","64.00","64.00","-0.5000","187"
"1721","三晃","6230915","124700130","20.60","20.65","19.70","19.75","-0.7000","3335"
"1722","台肥","747804","42343184","56.70","57.00","56.40","56.70","0.0000","607"
"1723","中碳","152125","14905495","97.90","98.40","97.60","97.70","-0.2000","442"
"1725","元禎","483701","20153709","43.00","43.00","40.45","40.45","-0.0500","484"
"1726","永記","15146","1170828","77.50","77.50","77.30","77.30","-0.1000","26"
"1727","中華化","1271606","46935749","37.30","37.40","36.60","36.75","-0.0500","904"
"1730","花仙子","15768","837939","53.10","53.20","53.10","53.20","0.1000","29"
"1731","美吾華","124752","2935252","23.60","23.60","23.45","23.45","-0.1500","101"
"1732","毛寶","80159","2290472","28.70","28.80","28.45","28.50","0.0000","90"
"1733","五鼎","166646","4878876","29.25","29.50","29.00","29.20","0.1000","265"
"1734","杏輝","627674","19148762","30.60","30.70","30.40","30.40","-0.2500","836"
"1735","日勝化","482985","11191441","23.55","24.50","22.25","22.25","-0.9500","379"
"1736","喬山","563764","96941352","173.00","173.50","170.50","170.50","-2.5000","552"
"1737","臺鹽","190154","6326845","33.25","33.40","33.20","33.25","-0.0500","161"
"1752","南光","68982","3007858","43.80","43.90","43.40","43.90","0.1000","117"
"1760","寶齡富錦","107261","9734949","91.10","91.10","90.30","90.50","-0.6000","421"
"1762","中化生","86183","3677274","42.75","42.80","42.50","42.60","-0.2000","162"
"1773","勝一","337546","58815185","177.50","177.50","173.00","173.00","-5.0000","3177"
"1776","展宇","230039","4551202","20.10","20.25","19.50","19.55","-0.5000","357"
"1783","和康生","440406","19179484","42.60","44.10","42.60","43.80","1.6500","434"
"1786","科妍","2152928","233583256","107.00","112.00","105.00","106.00","4.0000","1811"
"1789","神隆","325552","7728246","23.65","24.00","23.60","23.60","-0.0500","264"
"1795","美時","10647027","2966716301","270.00","286.00","267.00","285.00","24.0000","10399"
"1802","台玻","21503811","422820731","19.80","20.40","19.05","19.40","-0.3500","7507"
"1805","寶徠","75261","1424195","18.80","19.10","18.80","19.00","0.0000","62"
"1806","冠軍","502009","5098816","10.25","10.35","10.10","10.10","-0.2000","284"
"1808","潤隆","3232027","138227026","42.95","43.30","42.50","42.65","0.1000","2557"
"1809","中釉","902603","18473201","20.85","20.85","20.25","20.25","-0.4500","517"
"1810","和成","511593","8918161","17.90","17.90","17.20","17.20","-0.5500","338"
"1817","凱撒衛","222212","9278344","42.40","42.40","41.45","41.50","0.4500","353"
"1903","士紙","139880","7652880","55.40","55.40","54.20","54.30","-0.6000","99"
"1904","正隆","639352","15317646","24.00","24.10","23.90","24.00","0.0000","612"
"1905","華紙","1015722","18910288","18.80","18.90","18.40","18.55","-0.1500","864"
"1906","寶隆","37280","571128","15.30","15.40","15.25","15.25","-0.0500","46"
"1907","永豐餘","551335","17278063","31.25","31.45","31.20","31.25","0.0500","325"
"1909","榮成","880060","11741577","13.45","13.55","13.25","13.25","-0.2000","468"
"2002","中鋼","20734627","482953972","23.25","23.40","23.10","23.25","0.1000","9510"
"2002A","中鋼特","16052","673894","41.95","42.10","41.95","42.10","-0.0500","8"
"2006","東和鋼鐵","814962","60778570","74.30","75.00","74.00","74.80","0.3000","1101"
"2007","燁興","671768","7421881","11.25","11.30","10.90","10.90","-0.1500","332"
"2008","高興昌","74455","2364743","31.80","31.95","31.60","31.80","0.0000","68"
"2009","第一銅","1044237","43666190","42.10","42.45","41.45","41.45","-0.4000","795"
"2010","春源","1494223","28159230","18.75","19.05","18.65","18.65","0.3000","913"
"2012","春雨","224617","5705784","25.80","25.80","25.00","25.00","-0.9500","191"
"2013","中鋼構","25151","1351445","53.50","54.10","53.50","53.50","0.0000","152"
"2014","中鴻","7158279","151447715","21.40","21.60","20.80","20.85","-0.5000","3395"
"2015","豐興","181285","14700497","80.90","81.40","80.50","81.20","0.7000","576"
"2017","官田鋼","408701","4981082","12.30","12.30","12.10","12.15","-0.0500","253"
"2020","美亞","314427","8738492","27.90","27.90","27.65","27.75","-0.1500","285"
"2022","聚亨","413328","4124941","10.05","10.05","9.94","9.99","-0.0600","334"
"2023","燁輝","1136835","17398092","15.45","15.45","15.20","15.30","0.0000","615"
"2024","志聯","6025","123731","20.50","20.60","20.40","20.40","0.0000","19"
"2025","千興","572557","6427488","11.25","11.30","11.15","11.20","-0.0500","290"
"2027","大成鋼","9392224","330822484","35.60","35.70","34.95","35.05","-0.4500","7122"
"2028","威致","104136","2457190","23.60","23.80","23.45","23.45","-0.2000","124"
"2029","盛餘","150197","3940112","26.60","26.60","26.05","26.25","-0.0500","153"
"2030","彰源","568668","10649347","19.05","19.05","18.55","18.55","-0.5000","445"
"2031","新光鋼","2641942","137463655","53.80","53.80","51.30","51.50","-1.9000","1932"
"2032","新鋼","147355","2289358","15.75","15.85","15.35","15.35","-0.3000","100"
"2033","佳大","4755658","125794955","24.65","27.05","24.65","25.65","1.0500","2373"
"2034","允強","3400697","72966092","21.50","21.75","21.20","21.35","-0.8000","3015"
"2038","海光","1436309","27025606","18.80","19.10","18.50","18.50","-0.2000","850"
"2049","上銀","3770554","948987243","253.00","255.00","247.50","253.50","0.0000","4669"
"2059","川湖","3821994","5474813340","1455.00","1480.00","1395.00","1405.00","-25.0000","4599"
"2062","橋椿","1778614","63725786","36.25","36.25","35.50","35.60","-0.6500","1192"
"2069","運錩","3714876","69682602","17.90","19.05","17.85","18.60","1.2500","1696"
"2101","南港","2439435","116486706","48.55","48.55","47.30","47.35","-1.0500","1817"
"2102","泰豐","609792","13349334","21.85","22.05","21.75","21.95","0.1000","424"
"2103","台橡","2646683","63451914","24.30","24.30","23.80","23.80","-0.5500","1255"
"2104","國際中橡","723689","11081417","15.40","15.45","15.20","15.35","-0.0500","459"
"2105","正新","3135054","145770375","47.20","47.25","46.10","46.20","-0.5500","2338"
"2106","建大","548527","16427479","30.10","30.10","29.85","29.90","-0.0500","356"
"2107","厚生","268743","6940943","25.70","26.00","25.70","25.75","0.0500","209"
"2108","南帝","302359","11086932","37.20","37.20","36.35","36.45","-0.7500","546"
"2109","華豐","434134","7807896","18.20","18.20","17.85","17.90","-0.3000","310"
"2114","鑫永銓","23024","2179034","94.80","95.00","94.10","95.00","0.2000","49"
"2115","六暉-KY","92795","2946945","32.30","32.30","31.55","31.60","-0.5000","56"
"2201","裕隆","2729675","155421629","57.80","58.30","56.20","56.20","-0.9000","2099"
"2204","中華","2205705","155818410","71.70","71.70","70.10","70.50","-0.6000","1961"
"2206","三陽工業","1470814","103063825","70.20","70.70","69.70","70.40","0.3000","1047"
"2207","和泰車","155578","100809474","652.00","652.00","645.00","647.00","-2.0000","778"
"2208","台船","4831311","87504321","17.95","18.30","17.90","17.95","0.0500","1689"
"2211","長榮鋼","670626","69439362","105.00","105.50","102.50","102.50","-2.0000","608"
"2227","裕日車","148182","15353935","105.50","105.50","102.50","103.00","-2.5000","431"
"2228","劍麟","671119","72383375","109.00","109.50","106.50","107.00","-0.5000","591"
"2231","為升","781626","81214456","104.00","105.50","102.50","105.50","3.0000","878"
"2233","宇隆","719682","116825719","166.00","167.50","160.00","160.00","-2.0000","728"
"2236","百達-KY","551055","65345743","121.00","121.00","116.50","118.00","-0.5000","328"
"2239","英利-KY","42302","1858755","44.80","44.80","43.45","43.45","-0.4500","37"
"2241","艾姆勒","763069","24057297","32.55","32.55","31.10","31.15","-1.0000","571"
"2243","宏旭-KY","736725","15879528","21.75","21.85","21.30","21.60","0.0000","433"
"2247","汎德永業","34658","10162159","293.00","293.50","293.00","293.50","1.0000","119"
"2250","IKKA-KY","178882","16873978","94.50","96.80","92.80","93.60","-0.5000","232"
"2254","巨鎧精密-創","286000","22536200","75.60","81.20","75.60","81.00","3.1000","82"
"2258","鴻華先進-創","223700","9553273","43.00","43.00","42.35","42.95","0.2000","107"
"2301","光寶科","3566774","375917611","106.00","106.00","105.00","105.00","0.0000","2647"
"2302","麗正","1923585","36997174","18.70","19.80","18.65","19.15","0.4500","1104"
"2303","聯電","63092705","2969197361","47.40","47.80","46.65","46.65","-0.5000","29346"
"2305","全友","193624","3534290","18.65","18.65","18.05","18.05","-0.6000","178"
"2308","台達電","7875153","3151999912","400.00","403.00","398.00","400.00","1.0000","4851"
"2312","金寶","56980317","1561294382","27.80","28.00","27.00","27.25","0.0000","23375"
"2313","華通","32557204","2147107979","67.70","67.70","64.50","65.10","-2.7000","20669"
"2314","台揚","13746747","490697632","35.10","36.80","34.95","35.50","0.5500","8769"
"2316","楠梓電","1320233","68823911","53.00","53.20","51.50","51.60","-1.0000","1525"
"2317","鴻海","54800994","11986609909","219.50","220.00","217.50","218.00","1.0000","51977"
"2321","東訊","31444","540719","17.60","17.60","16.40","17.15","0.1000","39"
"2323","中環","3618396","43189894","12.00","12.10","11.80","11.80","-0.1500","1184"
"2324","仁寶","37416650","1410159455","38.10","38.45","37.10","37.55","-0.6000","18522"
"2327","國巨","3527838","1959768642","561.00","563.00","548.00","548.00","-3.0000","5287"
"2328","廣宇","12948406","508615664","40.00","40.25","38.50","39.20","-0.6000","7629"
"2329","華泰","3341328","125210793","38.10","38.30","37.05","37.10","-0.7000","2690"
"2330","台積電","38840413","42224017162","1085.00","1090.00","1080.00","1090.00","25.0000","58203"
"2331","精英","2348066","58383973","25.30","25.30","24.45","24.55","-0.5000","1461"
"2332","友訊","11175095","226798368","20.95","20.95","19.85","19.95","-0.8500","5456"
"2337","旺宏","7962612","183053255","23.30","23.40","22.65","22.80","-0.5000","4213"
"2338","光罩","1121618","64366159","58.70","58.70","56.50","57.00","-1.2000","1407"
"2340","台亞","2097732","72864536","35.70","35.75","34.20","34.30","-1.3000","1802"
"2342","茂矽","347947","11136558","32.25","32.40","31.75","31.85","-0.4000","404"
"2344","華邦電","28514082","560442865","19.90","20.05","19.35","19.50","-0.3000","9602"
"2345","智邦","9124830","5369133743","594.00","603.00","579.00","584.00","-4.0000","6984"
"2347","聯強","4107203","296739857","72.50","73.60","71.50","71.50","0.4000","2426"
"2348","海悅","782887","118266454","149.50","154.00","149.00","150.00","0.5000","877"
"2348A","海悅甲特","2485","86827","35.00","35.00","34.95","34.95","-0.0500","4"
"2349","錸德","4632610","65401182","14.35","14.40","14.00","14.00","-0.2500","2223"
"2351","順德","5273876","531431929","102.00","103.00","100.00","100.00","-2.0000","3987"
"2352","佳世達","4750417","177818995","38.25","38.25","37.05","37.15","-0.7000","3436"
"2353","宏碁","25269450","1036369582","42.05","42.10","40.35","40.40","-1.5000","13315"
"2354","鴻準","195298193","19064362114","98.00","99.00","95.90","97.30","1.4000","96109"
"2355","敬鵬","1278252","50622828","40.20","40.35","39.10","39.30","-0.6000","1030"
"2356","英業達","76417976","4048645046","53.30","54.10","51.80","52.40","-0.1000","38979"
"2357","華碩","4342861","2699712270","610.00","627.00","610.00","621.00","14.0000","6321"
"2359","所羅門","2161476","316832555","149.00","149.00","144.50","144.50","-4.5000","2017"
"2360","致茂","5170248","2290731043","452.50","457.50","432.00","442.00","-14.0000","4404"
"2362","藍天","5862698","351183277","60.10","61.20","58.50","58.80","-0.9000","4007"
"2363","矽統","20224662","1587590562","80.50","81.20","76.40","76.70","-1.9000","16504"
"2364","倫飛","254062","21873194","87.80","88.10","85.00","85.70","-2.4000","1108"
"2365","昆盈","4139437","194615094","47.55","48.10","46.05","46.10","-1.2500","2867"
"2367","燿華","7346117","234178723","32.25","32.35","31.30","31.35","-0.5500","3720"
"2368","金像電","11968389","2192378582","189.50","190.00","181.00","181.50","-7.0000","11739"
"2369","菱生","1987024","39046137","20.20","20.20","19.35","19.40","-0.6000","1351"
"2371","大同","5546039","260009510","47.80","47.80","46.35","46.45","-0.7500","3379"
"2373","震旦行","36338","2467311","67.70","68.10","67.70","67.70","-0.2000","55"
"2374","佳能","2879905","140266915","49.00","49.30","48.15","48.15","-0.8000","2455"
"2375","凱美","162983","10798722","67.00","67.00","66.00","66.10","-0.6000","173"
"2376","技嘉","13104901","4007322675","305.50","309.00","301.50","305.50","1.0000","23644"
"2377","微星","4526504","846792783","189.50","191.00","184.00","184.50","-4.5000","21171"
"2379","瑞昱","2061144","1032013740","494.00","505.00","494.00","500.00","5.0000","2666"
"2380","虹光","187045","1185698","6.33","6.35","6.30","6.30","-0.0100","139"
"2382","廣達","32335688","10670191342","328.00","333.00","326.50","328.00","2.5000","41765"
"2383","台光電","3823509","1665382445","437.00","440.00","431.50","431.50","-3.5000","3443"
"2385","群光","4362642","680576558","158.50","159.00","154.00","154.00","-3.5000","4084"
"2387","精元","942104","52862058","56.40","56.50","55.80","56.00","-0.8000","561"
"2388","威盛","30577962","3481390576","121.50","121.50","109.00","110.50","-8.5000","20799"
"2390","云辰","388124","5367375","14.05","14.05","13.65","13.70","-0.2500","318"
"2392","正崴","62566746","4614020266","72.30","76.00","71.00","74.20","4.7000","39036"
"2393","億光","2365381","199467364","83.40","85.70","83.40","84.50","1.1000","2098"
"2395","研華","1343052","450636483","339.50","341.00","332.00","333.50","-3.0000","1365"
"2397","友通","1408110","113977062","83.90","84.00","79.40","79.80","-3.2000","1292"
"2399","映泰","31652606","1142375110","35.40","37.20","35.15","35.15","-0.0500","17732"
"2401","凌陽","1595223","48399148","30.90","30.90","30.00","30.10","-0.7000","1383"
"2402","毅嘉","3670560","152777690","42.20","42.45","41.25","41.50","-0.4500","2752"
"2404","漢唐","1211430","430473707","350.00","364.50","346.50","346.50","-2.5000","1907"
"2405","輔信","3662136","76666892","21.20","21.20","20.70","20.70","-0.2000","1822"
"2406","國碩","1960777","35186919","18.30","18.40","17.75","17.75","-0.5000","1298"
"2408","南亞科","10531647","434197844","42.10","42.30","40.65","40.70","-1.3500","6086"
"2409","友達","26113199","432748121","16.85","16.95","16.40","16.40","-0.5500","8398"
"2412","中華電","7933564","976144540","123.00","123.50","122.50","123.00","0.0000","3571"
"2413","環科","1491876","38939481","26.65","26.85","25.50","25.95","-0.7500","1158"
"2414","精技","475620","17636370","36.70","37.80","36.40","37.50","1.3500","454"
"2415","錩新","218799","5740788","27.10","27.10","26.00","26.00","-0.6500","306"
"2417","圓剛","611368","24931199","41.65","41.65","40.30","40.55","-0.7000","822"
"2419","仲琦","4679464","161107378","35.45","35.75","33.60","33.70","-1.7000","4478"
"2420","新巨","1801805","127400826","73.00","73.80","69.10","69.80","-2.8000","1478"
"2421","建準","4618057","463451211","102.50","103.00","98.60","99.40","-3.1000","3805"
"2423","固緯","218048","9607217","44.65","44.65","43.75","43.90","-0.1500","182"
"2424","隴華","16613","1339597","80.70","80.90","80.50","80.50","0.1000","27"
"2425","承啟","3099488","136974094","44.60","45.45","43.10","43.45","-1.4000","2038"
"2426","鼎元","3021049","66939978","22.85","22.90","21.75","21.75","-0.9500","2006"
"2427","三商電","648746","17692614","27.35","27.55","27.05","27.25","-0.0500","425"
"2428","興勤","159643","26419075","168.50","168.50","164.50","164.50","-2.5000","201"
